"Plot Title: HOBO 1A Chamber 1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561439, SEN S/N: 10561439)","RH, % (LGR S/N: 10561439, SEN S/N: 10561439)","DewPt, °C (LGR S/N: 10561439, SEN S/N: 10561439)","Button Down (LGR S/N: 10561439, SEN S/N: 10561439)","Button Up (LGR S/N: 10561439, SEN S/N: 10561439)","Stopped (LGR S/N: 10561439, SEN S/N: 10561439)","End Of File (LGR S/N: 10561439, SEN S/N: 10561439)"
197,07/21/2014 11:46:00 AM,22.613,69.286,16.724,,,,
198,07/21/2014 11:47:00 AM,22.613,69.137,16.690,,,,
199,07/21/2014 11:48:00 AM,22.613,69.019,16.663,,,,
200,07/21/2014 11:49:00 AM,22.637,69.290,16.747,,,,
201,07/21/2014 11:50:00 AM,22.637,69.023,16.687,,,,
202,07/21/2014 11:51:00 AM,22.613,68.841,16.622,,,,
203,07/21/2014 11:52:00 AM,22.613,69.019,16.663,,,,
204,07/21/2014 11:53:00 AM,22.613,69.167,16.697,,,,
205,07/21/2014 11:54:00 AM,22.613,69.167,16.697,,,,
206,07/21/2014 11:55:00 AM,22.613,69.137,16.690,,,,
207,07/21/2014 11:56:00 AM,22.613,69.256,16.717,,,,
208,07/21/2014 11:57:00 AM,22.613,69.137,16.690,,,,
209,07/21/2014 11:58:00 AM,22.637,69.142,16.714,,,,
210,07/21/2014 11:59:00 AM,22.613,69.226,16.710,,,,
211,07/21/2014 12:00:00 PM,22.613,69.256,16.717,,,,
212,07/21/2014 12:01:00 PM,22.637,69.023,16.687,,,,
213,07/21/2014 12:02:00 PM,22.637,69.053,16.693,,,,
214,07/21/2014 12:03:00 PM,22.613,69.019,16.663,,,,
215,07/21/2014 12:04:00 PM,22.637,69.112,16.707,,,,
216,07/21/2014 12:05:00 PM,22.613,69.108,16.683,,,,
217,07/21/2014 12:06:00 PM,22.637,69.023,16.687,,,,
218,07/21/2014 12:07:00 PM,22.613,69.078,16.676,,,,
219,07/21/2014 12:08:00 PM,22.613,68.960,16.649,,,,
220,07/21/2014 12:09:00 PM,22.613,68.960,16.649,,,,
221,07/21/2014 12:10:00 PM,22.613,69.108,16.683,,,,
222,07/21/2014 12:11:00 PM,22.613,69.167,16.697,,,,
223,07/21/2014 12:12:00 PM,22.637,69.201,16.727,,,,
224,07/21/2014 12:13:00 PM,22.637,69.172,16.720,,,,
